"","survival_50","survival_500","survival_pessimistic"
"Caprimulgus_celebensis",1,1,1
"Caprimulgus_eximius",1,1,1
"Nyctipolus_nigrescens",1,1,1
"Caprimulgus_pulchellus",1,1,1
"Caprimulgus_ruficollis",1,1,1
"Nyctidromus_anthonyi",1,1,1
"Nyctidromus_albicollis",1,1,1
"Setopagis_whitelyi",1,1,1
"Uropsalis_segmentata",1,1,1
"Uropsalis_lyra",1,1,1
"Eleothreptus_anomalus",1,1,1
"Eleothreptus_candicans",1,1,1
"Hydropsalis_cayennensis",1,1,1
"Hydropsalis_climacocerca",1,1,1
"Hydropsalis_torquata",1,1,1
"Hydropsalis_maculicaudus",1,1,1
"Nyctiprogne_vielliardi",1,1,1
"Nyctiprogne_leucopyga",1,1,1
"Caprimulgus_centralasicus",1,1,1
"Lurocalis_semitorquatus",1,1,1
"Lurocalis_rufiventris",1,1,1
"Antrostomus_salvini",1,1,1
"Antrostomus_rufus",1,1,1
"Caprimulgus_clarus",1,1,1
"Antrostomus_carolinensis",1,1,1
"Antrostomus_ridgwayi",1,1,1
"Antrostomus_saturatus",1,1,1
"Setopagis_parvula",1,1,1
"Phalaenoptilus_nuttallii",1,1,1
"Caprimulgus_mahrattensis",1,1,1
"Nyctiphrynus_mcleodii",1,1,1
"Nyctiphrynus_yucatanicus",1,1,1
"Nyctiphrynus_ocellatus",1,1,1
"Nyctiphrynus_rosenbergi",1,1,1
"Siphonorhis_brewsteri",1,1,1
"Antrostomus_noctitherus",1,1,1
"Caprimulgus_batesi",1,1,1
"Caprimulgus_donaldsoni",1,1,1
"Caprimulgus_poliocephalus",1,1,1
"Caprimulgus_pectoralis",1,1,1
"Antrostomus_ekmani",1,1,1
"Caprimulgus_aegyptius",1,1,1
"Caprimulgus_affinis",1,1,1
"Caprimulgus_asiaticus",1,1,1
"Nyctipolus_hirundinaceus",1,1,1
"Caprimulgus_madagascariensis",1,1,1
"Caprimulgus_inornatus",1,1,1
"Caprimulgus_prigoginei",1,1,1
"Caprimulgus_macrurus",1,1,1
"Macropsalis_forcipata",1,1,1
"Caprimulgus_solala",1,1,1
"Caprimulgus_indicus",1,1,1
"Caprimulgus_tristigma",1,1,1
"Caprimulgus_manillensis",1,1,1
"Caprimulgus_vexillarius",1,1,1
"Caprimulgus_longipennis",1,1,1
"Caprimulgus_fraenatus",1,1,1
"Caprimulgus_europaeus",1,1,1
"Caprimulgus_rufigena",1,1,1
"Caprimulgus_fossii",1,1,1
"Caprimulgus_climacurus",1,1,1
"Chordeiles_nacunda",1,1,1
"Chordeiles_minor",1,1,1
"Chordeiles_rupestris",1,1,1
"Chordeiles_gundlachii",1,1,1
"Chordeiles_acutipennis",1,1,1
"Chordeiles_pusillus",1,1,1
"Setopagis_maculosa",1,1,1
"Eurostopodus_mystacalis",1,1,1
"Eurostopodus_argus",1,1,1
"Caprimulgus_natalensis",1,1,1
"Eurostopodus_papuensis",1,1,1
"Caprimulgus_meesi",1,1,1
"Podargus_ocellatus",1,1,1
"Podargus_strigoides",1,1,1
"Podargus_papuensis",1,1,1
"Rigidipenna_inexpectata",1,1,1
"Batrachostomus_mixtus",1,1,1
"Batrachostomus_cornutus",1,1,1
"Batrachostomus_stellatus",1,1,1
"Batrachostomus_septimus",1,1,1
"Batrachostomus_moniliger",1,1,1
"Batrachostomus_javensis",1,1,1
"Batrachostomus_harterti",1,1,1
"Batrachostomus_auritus",1,1,1
"Batrachostomus_hodgsoni",1,1,1
"Batrachostomus_poliolophus",1,1,1
"Aegotheles_insignis",1,1,1
"Aegotheles_savesi",1,1,1
"Aegotheles_tatei",1,1,1
"Aegotheles_albertisi",1,1,1
"Aegotheles_wallacii",1,1,1
"Aegotheles_archboldi",1,1,1
"Aegotheles_crinifrons",1,1,1
"Aegotheles_bennettii",1,1,1
"Aegotheles_cristatus",1,1,1
"Topaza_pyra",1,1,1
"Topaza_pella",1,1,1
"Florisuga_fusca",1,1,1
"Florisuga_mellivora",1,1,1
"Clytolaema_rubricauda",1,1,1
"Pterophanes_cyanopterus",1,1,1
"Ensifera_ensifera",1,1,1
"Ocreatus_underwoodii",1,1,1
"Loddigesia_mirabilis",1,1,1
"Urosticte_ruficrissa",1,1,1
"Urosticte_benjamini",1,1,1
"Boissonneaua_jardini",1,1,1
"Boissonneaua_flavescens",1,1,1
"Boissonneaua_matthewsii",1,1,1
"Urochroa_bougueri",1,1,1
"Heliodoxa_aurescens",1,1,1
"Heliodoxa_leadbeateri",1,1,1
"Heliodoxa_jacula",1,1,1
"Heliodoxa_imperatrix",1,1,1
"Heliodoxa_rubinoides",1,1,1
"Heliodoxa_schreibersii",1,1,1
"Heliodoxa_xanthogonys",1,1,1
"Heliodoxa_branickii",1,1,1
"Heliodoxa_gularis",1,1,1
"Haplophaedia_assimilis",1,1,1
"Haplophaedia_lugens",1,1,1
"Haplophaedia_aureliae",1,1,1
"Eriocnemis_isabellae",1,1,1
"Eriocnemis_aline",1,1,1
"Eriocnemis_godini",1,1,1
"Eriocnemis_mirabilis",1,1,1
"Eriocnemis_luciani",1,1,1
"Eriocnemis_cupreoventris",1,1,1
"Eriocnemis_derbyi",1,1,1
"Eriocnemis_glaucopoides",1,1,1
"Eriocnemis_nigrivestis",1,1,1
"Eriocnemis_vestita",1,1,1
"Eriocnemis_mosquera",1,1,1
"Coeligena_torquata",1,1,1
"Coeligena_iris",1,1,1
"Coeligena_phalerata",1,1,1
"Coeligena_orina",1,1,1
"Coeligena_lutetiae",1,1,1
"Coeligena_helianthea",1,1,1
"Coeligena_bonapartei",1,1,1
"Coeligena_violifer",1,1,1
"Coeligena_prunellei",1,1,1
"Coeligena_wilsoni",1,1,1
"Coeligena_coeligena",1,1,1
"Lafresnaya_lafresnayi",1,1,1
"Aglaeactis_aliciae",1,1,1
"Aglaeactis_cupripennis",1,1,1
"Aglaeactis_castelnaudii",1,1,1
"Aglaeactis_pamela",1,1,1
"Sephanoides_sephaniodes",1,1,1
"Sephanoides_fernandensis",1,1,1
"Discosura_letitiae",1,1,1
"Discosura_longicaudus",1,1,1
"Discosura_conversii",1,1,1
"Discosura_popelairii",1,1,1
"Discosura_langsdorffi",1,1,1
"Lophornis_chalybeus",1,1,1
"Lophornis_delattrei",1,1,1
"Lophornis_magnificus",1,1,1
"Lophornis_brachylophus",1,1,1
"Lophornis_helenae",1,1,1
"Lophornis_pavoninus",1,1,1
"Lophornis_adorabilis",1,1,1
"Lophornis_ornatus",1,1,1
"Lophornis_gouldii",1,1,1
"Lophornis_stictolophus",1,1,1
"Metallura_theresiae",1,1,1
"Metallura_eupogon",1,1,1
"Metallura_odomae",1,1,1
"Metallura_williami",1,1,1
"Metallura_baroni",1,1,1
"Metallura_aeneocauda",1,1,1
"Metallura_phoebe",1,1,1
"Metallura_iracunda",1,1,1
"Metallura_tyrianthina",1,1,1
"Oreonympha_nobilis",1,1,1
"Chalcostigma_heteropogon",1,1,1
"Chalcostigma_olivaceum",1,1,1
"Chalcostigma_stanleyi",1,1,1
"Chalcostigma_herrani",1,1,1
"Oxypogon_guerinii",1,1,1
"Chalcostigma_ruficeps",1,1,1
"Opisthoprora_euryptera",1,1,1
"Oreotrochilus_leucopleurus",1,1,1
"Oreotrochilus_estella",1,1,1
"Oreotrochilus_adela",1,1,1
"Oreotrochilus_melanogaster",1,1,1
"Oreotrochilus_chimborazo",1,1,1
"Polyonymus_caroli",1,1,1
"Sappho_sparganurus",1,1,1
"Ramphomicron_microrhynchum",1,1,1
"Ramphomicron_dorsale",1,1,1
"Lesbia_nuna",1,1,1
"Lesbia_victoriae",1,1,1
"Taphrolesbia_griseiventris",1,1,1
"Aglaiocercus_coelestis",1,1,1
"Aglaiocercus_berlepschi",1,1,1
"Adelomyia_melanogenys",1,1,1
"Heliangelus_mavors",1,1,1
"Heliangelus_regalis",1,1,1
"Heliangelus_viola",1,1,1
"Heliangelus_exortis",1,1,1
"Heliangelus_micraster",1,1,1
"Heliangelus_amethysticollis",1,1,1
"Heliangelus_strophianus",1,1,1
"Phlogophilus_hemileucurus",1,1,1
"Phlogophilus_harterti",1,1,1
"Patagona_gigas",1,1,1
"Basilinna_leucotis",1,1,1
"Basilinna_xantusii",1,1,1
"Cynanthus_latirostris",1,1,1
"Chlorostilbon_poortmani",1,1,1
"Chlorostilbon_stenurus",1,1,1
"Chlorostilbon_maugaeus",1,1,1
