"species","survival","extinction"
"Bibimys_chacoensis",0.99995,5e-05
"Bibimys_labiosus",0.99995,5e-05
"Bibimys_torresi",0.95,0.05
"Bos_bison",0.996,0.004
"Bos_bonasus",0.95,0.05
"Biswamoyopterus_biswasi",0.03,0.97
"Biswamoyopterus_laoensis",0.996,0.004
"Blarina_brevicauda",0.99995,5e-05
"Blarina_carolinensis",0.99995,5e-05
"Blarina_hylophaga",0.99995,5e-05
"Blarinella_griselda",0.99995,5e-05
"Blarinella_quadraticauda",0.996,0.004
"Blarinella_wardi",0.99995,5e-05
"Blarinomys_breviceps",0.99995,5e-05
"Blastocerus_dichotomus",0.95,0.05
"Boneia_bidens",0.95,0.05
"Bos_frontalis",0.95,0.05
"Bos_grunniens",0.996,0.004
"Bos_javanicus",0.58,0.42
"Bos_mutus",0.95,0.05
"Bos_sauveli",0.03,0.97
"Boselaphus_tragocamelus",0.99995,5e-05
"Brachiones_przewalskii",0.99995,5e-05
"Brachylagus_idahoensis",0.99995,5e-05
"Brachyphylla_cavernarum",0.99995,5e-05
"Brachyphylla_nana",0.99995,5e-05
"Brachytarsomys_albicauda",0.99995,5e-05
"Brachytarsomys_villosa",0.95,0.05
"Brachyteles_arachnoides",0.03,0.97
"Brachyteles_hypoxanthus",0.03,0.97
"Brachyuromys_betsileoensis",0.99995,5e-05
"Brachyuromys_ramirohitra",0.99995,5e-05
"Bradypus_pygmaeus",0.03,0.97
"Bradypus_torquatus",0.95,0.05
"Bradypus_tridactylus",0.99995,5e-05
"Bradypus_variegatus",0.99995,5e-05
"Brassomys_albidens",0.996,0.004
"Brucepattersonius_griserufescens",0.996,0.004
"Brucepattersonius_guarani",0.996,0.004
"Brucepattersonius_igniventris",0.996,0.004
"Brucepattersonius_iheringi",0.99995,5e-05
"Brucepattersonius_misionensis",0.996,0.004
"Brucepattersonius_paradisus",0.996,0.004
"Brucepattersonius_soricinus",0.996,0.004
"Bubalus_arnee",0.58,0.42
"Bubalus_bubalis",0.996,0.004
"Bubalus_depressicornis",0.58,0.42
"Bubalus_mindorensis",0.03,0.97
"Bubalus_quarlesi",0.58,0.42
"Budorcas_taxicolor",0.95,0.05
"Bullimus_bagobus",0.99995,5e-05
"Bullimus_gamay",0.95,0.05
"Bullimus_luzonicus",0.99995,5e-05
"Bunolagus_monticularis",0.03,0.97
"Bunomys_andrewsi",0.99995,5e-05
"Bunomys_chrysocomus",0.99995,5e-05
"Bunomys_coelestis",0.58,0.42
"Bunomys_fratrorum",0.95,0.05
"Bunomys_karokophilus",0.996,0.004
"Bunomys_penitus",0.99995,5e-05
"Bunomys_prolatus",0.58,0.42
"Bunomys_torajae",0.996,0.004
"Burramys_parvus",0.03,0.97
"Cabassous_centralis",0.996,0.004
"Cabassous_chacoensis",0.996,0.004
"Cabassous_tatouay",0.99995,5e-05
"Cabassous_unicinctus",0.99995,5e-05
"Cabreramops_aequatorianus",0.58,0.42
"Cacajao_calvus",0.95,0.05
"Cacajao_melanocephalus",0.99995,5e-05
"Cacajao_ouakary",0.996,0.004
"Caenolestes_caniventer",0.996,0.004
"Caenolestes_condorensis",0.95,0.05
"Caenolestes_convelatus",0.95,0.05
"Caenolestes_fuliginosus",0.99995,5e-05
"Caenolestes_sangay",0.95,0.05
"Calassomys_apicalis",0.996,0.004
"Calcochloris_obtusirostris",0.99995,5e-05
"Calcochloris_tytonis",0.996,0.004
"Callicebus_barbarabrownae",0.03,0.97
"Callicebus_coimbrai",0.58,0.42
"Callicebus_melanochir",0.95,0.05
"Callicebus_nigrifrons",0.996,0.004
"Callicebus_personatus",0.95,0.05
"Callimico_goeldii",0.95,0.05
"Callistomys_pictus",0.58,0.42
"Callithrix_aurita",0.58,0.42
"Callithrix_flaviceps",0.58,0.42
"Callithrix_geoffroyi",0.99995,5e-05
"Callithrix_jacchus",0.99995,5e-05
"Callithrix_kuhlii",0.95,0.05
"Callithrix_penicillata",0.99995,5e-05
"Callorhinus_ursinus",0.95,0.05
"Callosciurus_adamsi",0.996,0.004
"Callosciurus_baluensis",0.99995,5e-05
"Callosciurus_caniceps",0.99995,5e-05
"Callosciurus_erythraeus",0.99995,5e-05
"Callosciurus_finlaysonii",0.99995,5e-05
"Callosciurus_inornatus",0.99995,5e-05
"Callosciurus_melanogaster",0.95,0.05
"Callosciurus_nigrovittatus",0.99995,5e-05
"Callosciurus_notatus",0.99995,5e-05
"Callosciurus_orestes",0.99995,5e-05
"Callosciurus_phayrei",0.99995,5e-05
"Callosciurus_prevostii",0.99995,5e-05
"Callosciurus_pygerythrus",0.99995,5e-05
"Callosciurus_quinquestriatus",0.99995,5e-05
"Callospermophilus_lateralis",0.99995,5e-05
"Callospermophilus_madrensis",0.996,0.004
"Callospermophilus_saturatus",0.99995,5e-05
"Calomys_achaku",0.996,0.004
"Calomys_boliviae",0.99995,5e-05
"Calomys_callidus",0.99995,5e-05
