"","species","survival","extinction"
"467","Bos_sauveli",0.03,0.97
"468","Boselaphus_tragocamelus",0.99995,5e-05
"469","Brachiones_przewalskii",0.99995,5e-05
"470","Brachylagus_idahoensis",0.99995,5e-05
"471","Brachyphylla_cavernarum",0.99995,5e-05
"472","Brachyphylla_nana",0.99995,5e-05
"473","Brachytarsomys_albicauda",0.99995,5e-05
"474","Brachytarsomys_villosa",0.95,0.05
"475","Brachyteles_arachnoides",0.03,0.97
"476","Brachyteles_hypoxanthus",0.03,0.97
"477","Brachyuromys_betsileoensis",0.99995,5e-05
"478","Brachyuromys_ramirohitra",0.99995,5e-05
"479","Bradypus_pygmaeus",0.03,0.97
"480","Bradypus_torquatus",0.95,0.05
"481","Bradypus_tridactylus",0.99995,5e-05
"482","Bradypus_variegatus",0.99995,5e-05
"483","Brassomys_albidens",0.996,0.004
"484","Brucepattersonius_griserufescens",0.996,0.004
"485","Brucepattersonius_guarani",0.996,0.004
"486","Brucepattersonius_igniventris",0.996,0.004
"487","Brucepattersonius_iheringi",0.99995,5e-05
"488","Brucepattersonius_misionensis",0.996,0.004
"489","Brucepattersonius_paradisus",0.996,0.004
"490","Brucepattersonius_soricinus",0.996,0.004
"491","Bubalus_arnee",0.58,0.42
"492","Bubalus_bubalis",0.996,0.004
"493","Bubalus_depressicornis",0.58,0.42
"494","Bubalus_mindorensis",0.03,0.97
"495","Bubalus_quarlesi",0.58,0.42
"496","Budorcas_taxicolor",0.95,0.05
"497","Bullimus_bagobus",0.99995,5e-05
"498","Bullimus_gamay",0.95,0.05
"499","Bullimus_luzonicus",0.99995,5e-05
"500","Bunolagus_monticularis",0.03,0.97
"501","Bunomys_andrewsi",0.99995,5e-05
"502","Bunomys_chrysocomus",0.99995,5e-05
"503","Bunomys_coelestis",0.58,0.42
"504","Bunomys_fratrorum",0.95,0.05
"505","Bunomys_karokophilus",0.996,0.004
"506","Bunomys_penitus",0.99995,5e-05
"507","Bunomys_prolatus",0.58,0.42
"508","Bunomys_torajae",0.996,0.004
"509","Burramys_parvus",0.03,0.97
"510","Cabassous_centralis",0.996,0.004
"511","Cabassous_chacoensis",0.996,0.004
"512","Cabassous_tatouay",0.99995,5e-05
"513","Cabassous_unicinctus",0.99995,5e-05
"514","Cabreramops_aequatorianus",0.58,0.42
"515","Cacajao_calvus",0.95,0.05
"516","Cacajao_melanocephalus",0.99995,5e-05
"517","Cacajao_ouakary",0.996,0.004
"518","Caenolestes_caniventer",0.996,0.004
"519","Caenolestes_condorensis",0.95,0.05
"520","Caenolestes_convelatus",0.95,0.05
"521","Caenolestes_fuliginosus",0.99995,5e-05
"522","Caenolestes_sangay",0.95,0.05
"523","Calassomys_apicalis",0.996,0.004
"524","Calcochloris_obtusirostris",0.99995,5e-05
"525","Calcochloris_tytonis",0.996,0.004
"526","Callicebus_barbarabrownae",0.03,0.97
"527","Callicebus_coimbrai",0.58,0.42
"528","Callicebus_melanochir",0.95,0.05
"529","Callicebus_nigrifrons",0.996,0.004
"530","Callicebus_personatus",0.95,0.05
"531","Callimico_goeldii",0.95,0.05
"532","Callistomys_pictus",0.58,0.42
"533","Callithrix_aurita",0.58,0.42
"534","Callithrix_flaviceps",0.58,0.42
"535","Callithrix_geoffroyi",0.99995,5e-05
"536","Callithrix_jacchus",0.99995,5e-05
"537","Callithrix_kuhlii",0.95,0.05
"538","Callithrix_penicillata",0.99995,5e-05
"539","Callorhinus_ursinus",0.95,0.05
"540","Callosciurus_adamsi",0.996,0.004
"541","Callosciurus_baluensis",0.99995,5e-05
"542","Callosciurus_caniceps",0.99995,5e-05
"543","Callosciurus_erythraeus",0.99995,5e-05
"544","Callosciurus_finlaysonii",0.99995,5e-05
"545","Callosciurus_inornatus",0.99995,5e-05
"546","Callosciurus_melanogaster",0.95,0.05
"547","Callosciurus_nigrovittatus",0.99995,5e-05
"548","Callosciurus_notatus",0.99995,5e-05
"549","Callosciurus_orestes",0.99995,5e-05
"550","Callosciurus_phayrei",0.99995,5e-05
"551","Callosciurus_prevostii",0.99995,5e-05
"552","Callosciurus_pygerythrus",0.99995,5e-05
"553","Callosciurus_quinquestriatus",0.99995,5e-05
"554","Callospermophilus_lateralis",0.99995,5e-05
"555","Callospermophilus_madrensis",0.996,0.004
"556","Callospermophilus_saturatus",0.99995,5e-05
"557","Calomys_achaku",0.996,0.004
"558","Calomys_boliviae",0.99995,5e-05
"559","Calomys_callidus",0.99995,5e-05
"560","Calomys_callosus",0.99995,5e-05
"561","Calomys_cerqueirai",0.996,0.004
"562","Calomys_chinchilico",0.996,0.004
"563","Calomys_expulsus",0.99995,5e-05
"564","Calomys_frida",0.996,0.004
"565","Calomys_hummelincki",0.99995,5e-05
"566","Calomys_laucha",0.99995,5e-05
"567","Calomys_lepidus",0.99995,5e-05
"568","Calomys_mattevii",0.996,0.004
"569","Calomys_miurus",0.996,0.004
"570","Calomys_musculinus",0.99995,5e-05
"571","Calomys_sorellus",0.99995,5e-05
"572","Calomys_tener",0.99995,5e-05
"573","Calomys_tocantinsi",0.99995,5e-05
"574","Calomys_venustus",0.99995,5e-05
"575","Calomyscus_bailwardi",0.99995,5e-05
"576","Calomyscus_baluchi",0.99995,5e-05
"577","Calomyscus_elburzensis",0.99995,5e-05
"578","Calomyscus_grandis",0.996,0.004
"579","Calomyscus_hotsoni",0.99995,5e-05
"580","Calomyscus_mystax",0.99995,5e-05
"581","Calomyscus_tsolovi",0.996,0.004
"582","Calomyscus_urartensis",0.99995,5e-05
"583","Caluromys_derbianus",0.99995,5e-05
"584","Caluromys_lanatus",0.99995,5e-05
"585","Caluromys_philander",0.99995,5e-05
"586","Caluromysiops_irrupta",0.99995,5e-05
"587","Calyptophractus_retusus",0.996,0.004
"588","Camelus_bactrianus",0.03,0.97
"589","Camelus_dromedarius",0.996,0.004
"590","Canis_adustus",0.99995,5e-05
"591","Canis_anthus",0.99995,5e-05
"592","Canis_aureus",0.99995,5e-05
"593","Canis_latrans",0.99995,5e-05
"594","Canis_lupus",0.99995,5e-05
"595","Canis_lycaon",0.996,0.004
